summary,episode,season
"When Chandler refuses to date a woman from work, claiming her nostrils are too big, the gang claim this is always his way to avoid serious relationships. Rachel and Monica's downstairs neighbour, Mr. Heckles, suddenly dies, leaving them all his belongings, which is nothing but junk that they have to dispose of. Ross and Phoebe argue over the theory of evolution. Chandler, noticing similarities between his life and Mr. Heckles', believes he will also die alone. Panicked, he calls Janice and arranges to meet her, only to be shocked when she shows up married and pregnant.",3,2
"The gang is amazed that Phoebe has been secretly married to a gay Canadian ice dancer named Duncan, She married him so he could obtain a green card. Phoebe is excited when he wants to see her, then is crushed that he wants a divorce. Duncan says he realized he is not gay and wants to marry someone else. Interesting facts are revealed about the others: Joey starred in a porn film and Chandler has a third nipple. Ross seeks relationship advice from Rachel after revealing that he and Julie have not slept together yet. Rachel, wanting to keep them apart, advises they abstain, while Joey gives Ross the opposite advice.",4,2
"When a sexy-sounding woman calls the wrong number, Chandler seeks to exploit the situation, with ultimately embarrassing results. Income disparity issues divide the friends: the more affluent Ross, Chandler, and Monica versus the less-well-off Phoebe, Rachel, and Joey. Newly-promoted Monica is fired after accepting ""gifts"" from her restaurant's meat supplier, it being against restaurant policy regarding kickbacks.",5,2
"When Monica rushes Ross to the emergency room after he suffers an allergic reaction, Chandler and Joey babysit Ross' baby son, Ben. They use him as bait to attract girls, but women think they are a gay couple. After accidentally leaving Ben on a bus, they are unable to identify which of two babies is Ben at the city's lost & found. Phoebe loses her Central Perk gig to a professional performer, so she defiantly sings outside the café. , Also, a stranger Giovanni Ribisi, who accidentally dropped a condom in Phoebe's guitar case, rushes back to reclaim it for an ""emergency.""  Catherine Bell appears as Robin, one of the girls in the bus.",6,2
"Rachel goes on a date but after drinking too much wine, obsesses about Ross. Her date suggests she needs closure, so Rachel leaves a message on Ross' answering machine claiming she is ""over"" him. After hearing it the next morning, a stunned Ross wrestles with choosing her or Julie. Chandler gains a few pounds, so a depressed, out-of-work Monica volunteers to be his personal trainer, going overboard in the process. Phoebe takes Joey's advice when her new boyfriend is reluctant to sleep with her, only to have it backfire. Ross, upset and citing numerous reasons, tells Rachel it is too late for them to be together and he is staying with Julie. At the end of the episode, Ross goes to see Rachel at the coffee shop as she is closing up, and they passionately kiss.",7,2
"Ross struggles choosing between his childhood crush, Rachel, and his current girlfriend, Julie. Joey and Chandler suggest making a list of each girl's pros and cons. Ross chooses Rachel, ending it with Julie, though Rachel later finds the list, reading the negative comments. Hurt and angry, she breaks up with Ross. Monica is hired to create recipes using a vile-tasting synthetic chocolate called, Mockolate.",8,2
"At Christmastime, Monica, strapped for cash, tips people using home-baked cookies, receiving mixed reactions. Phoebe discovers that the framed picture of her father that her grandmother keeps in her apartment is actually the photo model. She tries locating her real father, then decides she is unready to meet him. Chandler and Joey delayed Christmas shopping and scrounge gifts from a gas station. To win back Rachel, Ross asks her to make a list about him, then is offended when she calls him obsessive, among other things.",9,2
"Monica gets back together with Fun Bobby, who the other friends realize has a drinking problem. Monica persuades him to quit drinking, only to discover he is no longer fun. Joey lands the role of Dr. Drake Ramoray, a neurosurgeon on Days of Our Lives after refusing to sleep with the casting lady, who admired his integrity. Rachel dates Russ, who bears an uncanny resemblance to Ross  meet and fall in love at first sight.",10,2
"Carol and Susan hire Monica to cater their lesbian wedding, though the upcoming nuptials soon runs into a snag that Ross helps untangle. Phoebe believes she is possessed by an eighty-two-year-old client's spirit who died during a massage session. The woman's widower tells Phoebe that his late wife did not want to die until she saw ""everything."" Rachel is shocked when her visiting mother  announces she is leaving Rachel's father.",11,2
"Ross goes to visit Marcel while in California but the zoo says the monkey died. Ross soon learns Marcel is alive and working in commercials. Joey receives his first fan letter from a beautiful but crazed woman, working on the film. She seems attracted to him, but actually wants revenge for Chandler once humiliating her in school. Joey is hired as an extra in the movie but overacts. Ross and Marcel spend time together.",12,2
"After getting his big break with Days of Our Lives, Joey pays Chandler back with $812 and gives him an engraved gold bracelet that Chandler thinks makes him look gay. Joey's feelings are hurt when he overhears Chandler complaining about it. Also, an unemployed Monica is hard up for money. A home video from Monica and Rachel's prom night reveals that Monica was previously overweight and Rachel had a large nose. Rachel's date, Chip, seemed to have stood her up, so Ross donned his father's tuxedo to take her to the prom, though Chip showed up at the last minute without Rachel knowing what Ross did. Rachel, overwhelmed by Ross' gesture, kisses him.In 1997, TV Guide ranked this episode at #100 of its list of TV's 100 Greatest Episodes.[4]",13,2
"Joey buys a big screen TV and two leather recliners with his soap opera salary, turning him and Chandler into ""coach potatoes"" who spend days watching TV and never getting out of the chairs. Monica has a catering job for handsome Dr. Richard Burke, an ophthalmologist, who is an old family friend. He and Monica are mutually smitten and later go on a date. Ross and Rachel attempt to have their first real date, though Rachel has difficulty adapting to their new romantic relationship, breaking into giggles at inappropriate times. Just before their next date, Ross has a museum emergency, so Rachel goes along. They spend the night in a museum exhibit, waking up nude and under an animal skin, to visitors gawking at them.The episode introduces Tom Selleck in a recurring guest role that led to an Emmy Award nomination for Outstanding Guest Actor in a Comedy Series in 2000.",14,2
"Now that he has a steady income, Joey thinks he should have his own apartment and moves out. Monica struggles to tell her parents that she is seeing Richard. Rachel and Phoebe want to get tattoos. Phoebe chickens out at the last minute, resulting in nothing more than a tiny blue dot, while Rachel gets hers despite Ross' claim he dislikes them.",15,2
"A record producer discovers Phoebe and wants to make her song ""Smelly Cat"" as a music video. The producer secretly dubs a more talented  like he did with Joey.",16,2
"Joey's good fortune comes crashing down when he foolishly claims in an interview for Soap Opera Digest that he writes all his own lines on the show, angering the scrip writer who kills off Joey's character. Phoebe's attempt to help Chandler bond with his new roommate ends up revealing Eddy's quirky behavior. Sexual history dominates a discussion between two couples—Monica and Richard, and Ross and Rachel.",17,2
"Creeped out by his bizarre new roommate, Eddie, Chandler demands he move out. Eddie agrees, then does not even remember the conversation. Obviously deranged, he imagines that he and Chandler took a trip to Las Vegas that never occurred. Joey struggles dealing with losing his job on ""Days of Our Lives"" and the accompanying change in his lifestyle. A new book on female empowerment inspires the girls to have a ""goddess meeting,"" unleashing buried truths. Joey moves back in with Chandler after them tricking Eddie by convincing him he never lived there.",18,2
"Phoebe's world view is shattered when she learns how the movie, Old Yeller, really ends. She watches all the films her mother never allowed her to watch and becomes depressed. Monica is jealous when Richard begins hanging out with Joey and Chandler. However, Joey and Chandler confess they consider Richard a fatherly figure, while Richard believed they were buddies. Rachel panics when she learns that Ross has already planned their whole life together.",19,2
"Chandler and Ross clash with two bullies at the coffee shop, one of whom steals Chandler's hat. Monica, down to her last few dollars, plays the stock market based solely on the ticker symbols to avoid taking a job at a tacky 1950s themed diner. Phoebe makes multiple attempts to visit her birth father, but instead meets her half-brother, Frank Buffay Jr.; she learns that her father left his second family four years earlier. Monica loses her savings due to her unwise investments, and is forced to take the job at the Moondance Diner, wearing a silly uniform and dancing on the counter to old songs.",20,2
"Monica only invites Rachel's mother, who is going through a contentious divorce from Rachel's father, to Rachel's birthday party. When Dr. Green unexpectedly arrives, an impromptu second party is set up at Chandler and Joey's apartment to keep the hostile couple apart. Things quickly go awry, but despite a few close calls, both Greens are kept apart.",21,2
"Phoebe catches chicken pox just as her old flame, Ryan  arrives in town on leave from the Navy. Even though he has never had chicken pox, he wants to see her and they spend the rest of the time being sick and trying not to scratch themselves. Joey gets a temp job at Chandler's office and decides to play it as a role. He creates, ""Joseph,"" who has a wife and kids and ultimately blames Chandler for his own screw ups. Monica is upset that Richard does not have a ""thing"": an unexplainable quirk like she does. He eventually thinks of one to please her.",22,2
"Rachel agrees to be maid of honor at her ex-fiancé's wedding, but a fashion faux pas focuses attention on her than the bride. To get a role in Warren Beatty's new movie, Joey must practice kissing guys. Monica ponders her future with Richard. Chandler falls for a mystery Internet woman who turns out to be ex-girlfriend, Janice. Monica breaks up with Richard, who is a grandfather, because he does not want more children.",23,2
"Ross reveals his sexual fantasy to Rachel, which involves Princess Leia's gold bikini from Return of the Jedi. Monica suffers from insomnia after breaking up with Richard. Chandler, back together with Janice, wants Joey to bond with her, a seemingly impossible request. To remedy the situation, Janice insists she and Joe spend a fun day together, convinced at the end that Joey now likes her. Joey later admits to Chandler that he still cannot stand Janice, but says that they both survived the day without incident, which is enough to satisfy Chandler.",1,3
"Ross is in a hurry to get everyone ready in time for an important banquet at the museum but they keep delaying. Phoebe arrives on time but gets in the way of Joey and Chandler throwing hummus, which lands on her dress. Monica freaks out after hearing a voice mail from Richard, unsure if it is an old message or a new one. Joey and Chandler fight over who can sit in Monica's chair. Joey takes the chair cushions, then puts on all of Chandler's clothes. Rachel refuses to go after Ross yells at her for not being dressed.",2,3
"Phoebe is stalked by a man mistaking her for Ursula, Phoebe's identical twin. Ross and Rachel give Chandler ""boyfriend"" lessons. Monica copes with her break-up with Richard by making jam, and considers having a baby by artificial insemination through a sperm bank. Joey's arm is in a sling after hurting his shoulder jumping on the bed., Guest star: David Arquette",3,3
"Phoebe pretends to be Joey's agent and has some success in getting him auditions; the initial rush soon wears off when she is forced to tell him why he is being turned down for parts. Ben brings a Barbie doll that he picked out himself on his weekend visit with Ross. This bothers Ross, who then tries to get him to give up Barbie in favor of G.I. Joe. Chandler is advancing in his relationship with Janice and, realizing his fear of commitment, seeks the girls' advice.",4,3
"Phoebe's half-brother, Frank, Jr. visits but his quirky behavior makes bonding difficult. Joey builds an entertainment unit that is too big for the apartment and annoys Chandler. Ross is challenged to name the five celebrities he would most like to sleep with. When Isabella Rossellini comes into the coffee shop, Ross tries flirting with her by claiming she is on his list, even though she is not. After Joey bets Chandler that he can fit inside the entertainment unit, Chandler locks him in. Guest star Isabella Rossellini.",5,3
"When Janice playfully asks the gang if any of them  have ever slept together, the friends flash back to the time when the coffee shop was a bar and their secrets are revealed: Ross and Phoebe nearly had sex on a pool table; Joey after first meeting Monica, came on to her by getting naked; before Chandler and Rachel knew each other, he tried coming on to her sexually when she and her girlfriends were having a drink at the bar. Rachel, engaged to Barry, brushed off Chandler, but later fantasized about having sex with him.",6,3
"Monica tries returning a bed after receiving the wrong one from Janice's ex-husband's store. While there, Joey sees Janice kissing her ex. Things end badly after Rachel tries to get her father and Ross to bond during dinner out together. To make amends, Rachel sets up a brunch only for it to backfire on her when Ross and Dr. Green bond over criticizing her. Joey teaches a soap opera acting class. When Joey and the student are up for the same part in a soap opera, Joey tries sabotaging the student's chances by suggesting he play the character, a boxer, as being gay. The other friends lambaste Joey for betraying a student's trust, thought the student ultimately wins the part.",7,3
"When Chandler wants to buy Janice an expensive gift, Joey reveals that he saw Janice kissing her ex-husband. While babysitting Ben, Monica accidentally bumps his head on a post. Phoebe has a toothache but fears going to the dentist will cause someone's death, as she claims has happened before. She finally goes, but on returning, notices that Ugly Naked Guy is lying motionless in his apartment in the adjacent building. The gang fashions a long poking stick to determine if he is alive and are relieved when he swats it away.",8,3
"Emotions become the feast of the day when the gang plays touch football on Thanksgiving, unleashing Ross and Monica's competitive streaks. Joey and Chandler argue over who gets to date a Dutch model watching the game. Rachel, feeling continually sidelined, makes a play that seems to win the game, but when it falls short, Ross and Monica simultaneously dive for the ball, refusing to yield it.",9,3
"Rachel is fed up with being a waitress so Joey and Chandler encourage her pursue a career in fashion, saying she will be more motivated to find a new job if she quits. Phoebe helps Joey with selling Christmas trees, but becomes upset over learning the old trees get thrown into a chipper. Ross accidentally breaks a little girl's leg, then attempts to make it up to her by helping her sell Brown Bird cookies to win a trip to Space Camp. Monica becomes addicted to the ""Mint Treasures"" cookies, forcing Ross to cut off her supply. Chandler helps Rachel prepare her resumḗ. Joey gives Rachel a job lead, and she is hired at Fortunata Fashions.",10,3
"Monica and Rachel's noisy upstairs neighbor is excessively charming. Phoebe confronts him about the noise and ends up dating him. The Monica and Rachel become uncomfortable when they later hear all of Phoebe's intimate upstairs activities. Rachel is frustrated with her new job of making coffee all day and sorting hangers. When Rachel vents her frustration to Monica at the diner, a customer named Mark mentions a vacancy in his department at Bloomingdale's and arranges an interview. Rachel gets the job, but Ross suspects Mark has ulterior motives for recommending her. A drunken Chandler fools around with one of Joey's sisters, but later cannot remember which one, angering Joey.",11,3
"Convinced Mark wants to steal Rachel, a jealous Ross showers her with romantic gifts at the workplace. Joey's numerous lies on his padded résumé catch up with him when he is forced to teach a dance to an entire Broadway cast, unsuccessfully. Monica dates Julio, a busboy from the diner who writes her a poem  called, 'The Empty Vase'. Touched, Monica sleeps with him, but Phoebe explains that the poem means he thinks she is ""empty"" inside. Monica later gets revenge. Rachel assures Ross he can trust her with Mark, then becomes jealous when he and Ben have a play date with the stripper from a bachelor party he attended who has a son Ben's age.",12,3
"Monica's willpower is tested after running into Richard at the video store. The two decide to just be 'friends', but soon are more than that. Joey agrees to read Little Women while Rachel reads The Shining. Phoebe's athletic new boyfriend accidentally keeps exposing himself through his loose-fitting shorts.",13,3
"Phoebe is reunited with her former singing partner Leslie, only to learn she once dated Joey, who accidentally threw her artificial limb into a fireplace. Ross, fed up with Rachel's long work hours, is ecstatic when Mark leaves Bloomingdale's for another job, only to discover he and Rachel are attending a fashion seminar together. To prevent Rachel going with Mark, Ross accompanies her instead, but he quickly falls asleep, causing a fresh argument leaving their relationship on rocky ground.",14,3
"Chandler and Joey are both attracted to Chloe, the girl who works at the copy center. Phoebe dates an East European diplomat whose interpreter accompanies them everywhere to translate. To gain some privacy, Phoebe fixes up Monica with the interpreter. She soon regrets it after the interpreter wants to spend all his time talking to Monica. Ross and Rachel's relationship is further strained when she has to work late on their one-year anniversary. Ross surprises her with a basket lunch, but she insists she is too busy. They later have a bitter fight with Rachel saying they need a break. Upset, Ross goes drinking with Joey and Chandler and ends up sleeping with Chloe.",15,3
"Rachel calls Ross the next morning saying she wants to get back together. Ross rushes Chloe out of his apartment before Rachel arrives, then frantically runs around trying to cover up the trail leading to his and Chloe's tryst. Rachel discovers the truth, and she and Ross have a huge fight as the other four friends listen in from Monica's bedroom. Ross is desperate for forgiveness, but Rachel refuses and ends the relationship, leaving both devastated.",16,3
"Ross and Rachel find it difficult being around each other, dividing the other friends' time between the estranged couple. Everyone minus Ross head off for a weekend ski-trip. When the car runs out of gas on the highway, they are forced to call Ross, angering Rachel. When Ross arrives, Rachel mocks him, leading Ross to say that Monica and Joey agree with him that they were on a break, and that she is being petty. That leads to everyone fighting and Chandler smoking again. Phoebe implores them to be civil with one another, otherwise the group will disintegrate.",17,3
"One of Monica's customers leaves her a $20,000 tip that she considers to be a joke. He turns out to be billionaire Pete Becker, Phoebe convinces Alice to come to her apartment and tell Frank why the relationship cannot work, only for this to backfire when the couple become passionate upon seeing each other. Chandler uses a hypnosis audio tape while sleeping to quit smoking, but it is meant for women, which brings out his feminine side. Monica agrees to a date with Pete, who takes her out for pizza--in Italy.",18,3
"Rachel has a date with Mark, her first since splitting with Ross, but soon finds she is unready for a new relationship. Ross, meanwhile, is distraught. Chandler convinces him to accept that Rachel has ""moved on."" Joey develops a crush on Kate, his costar in his new play. Monica continues dating Pete, even though she is still not attracted to him.",19,3
"Rachel regrets arranging a date for Chandler and her boss, Joanna. Joey's interest in Kate intensifies after they sleep together, but her relationship with the play's director complicates matters. Monica's aunt dies, leaving her a beautiful antique dollhouse. Monica invites Phoebe, who never had a dollhouse, to help her set it up, but gets upset with Phoebe's creative embellishments. Phoebe gets angry and brings over her homemade dollhouse, which meets a sad end.",20,3
"Pete offers Monica the head chef job at a new restaurant he just bought, but she suspects he is using it to woo her. When he insists he is over her and has met someone else, Phoebe correctly surmises he is lying. While Pete and Monica inspect the restaurant, Monica realizes Pete's true motive, then surprisingly discovers she has genuine feelings for him. Joey and Chandler adopt a chick and a duck. Ross skips being on a panel for the Discovery Channel so he can help Rachel, who may have a broken rib, leaving her amazed and appreciative by what he gave up to help her.",21,3
"Rachel dates Tommy,, an aggressive bully who terrorizes anyone crossing him. When only Ross observes his bad behavior, everyone else claims he is just jealous over Rachel. Joey and Kate part when she gets an acting job in Los Angeles. Using Monica's phone, Phoebe is on hold for days waiting to speak to a company before her warranty expires, unaware it is not a toll-free ""800"" number. The rest of the gang finally see Tommy's true character when he screams at the chick and the duck.",22,3
"Afflicted with a mysterious skin condition on his back, Ross seeks advice from Phoebe's herbalist, Unable to choose between dating a hunky fireman or a smart kindergarten teacher, Phoebe attempts to date both, though neither is entirely what she believes them to be. Monica thinks Pete wants to break up after he says they ""need to talk"" when he returns from Atlanta. Monica thinks Pete is going to propose when she finds a receipt from a ring designer. To her initial relief and then shock, Pete had a professional athletic ring built to pursue his dream of being an Ultimate Fighting champion.",23,3
"Monica tries to support Pete's UFC dreams, but after his brutal losses, she says she cannot stay if he continues, then breaks up with him after he refuses to quit. Chandler has a problem when his new boss keeps slapping his butt in a friendly but inappropriate manner. Phoebe sets Ross up on a date with Bonnie, a pretty girl who used to shave her head.This episode features a cameo skit by Billy Crystal and Robin Williams.",24,3
