season,episode,scene,location,extra_scene_info
1,6,2,the theater,"the play has ended and everyone is applauding. as soon as the cast leaves, the gang all groan and sit down heavily."
1,6,3,central perk,everyone else is there as chandler enters.
1,6,4,monica and rachel's,rachel is there as enter except joey enter.
1,6,5,monica and rachel's,"the next morning, monica is getting the door."
1,6,6,a film set,joey is entering for his scene.
1,6,7,chandler and joey's,aurora and chandler are in bed in chandler's room.
1,6,8,monica and rachel's,ross is trying to comfort chandler. joey is absent.
1,6,9,monica's bedroom,she's lying in bed wide awake.
1,7,1,central perk,"rachel is introducing phoebe, who is playing her guitar for the crowd."
1,7,2,the atm vestibule of a bank,"chandler is inside. the lights go out, and he realizes he is trapped inside."
1,7,3,monica and rachel's,"monica is on the phone with her mother. phoebe, rachel, and ross are there."
1,7,4,atm vestibule,jill goodacre is on the cellular phone. chandler's thoughts are in italics.
1,7,5,monica's apartment,"joey enters with a menorah, the candles lit."
1,7,6,atm vestibule,"joey enters with a menorah, the candles lit."
1,7,7,monica and rachel's,the phone rings; it's chandler.
1,7,8,monica and rachel's,time has passed. the five are sitting around the coffee table talking.
1,7,9,atm vestibule,time has passed. the five are sitting around the coffee table talking.
1,7,10,monica's apartment,phoebe is singing.
1,7,11,monica and rachel's balcony,ross and rachel are talking.
1,7,12,monica and rachel's,"phoebe is holding the cat, monica is treating the scratches on ross' back. joey is holding the menorah over the wound."
1,7,13,atm vestibule,"phoebe is holding the cat, monica is treating the scratches on ross' back. joey is holding the menorah over the wound."
1,7,14,the hallway of monica's building,phoebe and rachel are trying to find the cat's owner.
1,7,15,rachel has gone off on her own to look for the cat's owner,phoebe and rachel are trying to find the cat's owner.
1,7,16,monica and rachel's,"ross, monica, and joey are playing monopoly ."
1,7,17,atm vestibule,"ross, monica, and joey are playing monopoly ."
1,7,18,monica and rachel's,rachel and paolo are at the window. ross and joey are watching disgustedly.
1,7,19,atm vestibule,chandler and jill are sitting below the counter with two pens dangling from their chains in front of them. jill is showing chandler how to swing the pen around his head.
1,7,20,monica and rachel's,the gang is all sitting around the table.
1,7,21,atm vestibule,the power has come back on.
1,8,1,chandler's office,chandler is on a coffee break. shelley enters.
1,8,2,monica and rachel's,everyone is there.
1,8,3,the hospital,"mr. and mrs. geller are there, along with aunt lillian. ross and monica enter and everyone says hi and kisses."
1,8,4,central perk,"chandler, phoebe, joey, and rachel are there."
1,8,5,nana's house,"ross, mrs. geller and aunt lillian are going through clothes."
1,8,6,monica and rachel's,monica is talking to her father.
1,8,7,chandler's office,shelley is drinking coffee; chandler enters.
1,8,8,nana's bedroom,ross is holding a dress out from inside the closet.
1,8,9,monica and rachel's,monica and rachel are preparing to leave for the funeral.
1,8,10,the cemetary,after the funeral.
1,8,11,the wake,"at the gellers' house. ross is lying on his back, with phoebe squatting over him, checking to see if he's injured."
1,8,12,central perk,the gang are looking at old photos.
1,8,13,chandler's office,chandler is on a coffee break as lowell enters.
1,9,1,central perk,"rachel is confronting her boss, terry."
1,9,2,central perk,rachel is approaching a customer.
1,9,3,carol and susan's apartment,susan is there. ross enters.
1,9,4,monica and rachel's,everyone is there but rachel.
1,9,5,the subway,joey spots a gorgeous woman waiting. he goes up to her.
1,9,6,central perk,"joey enters, amongst snickers from the gang."
1,9,7,monica and rachel's,"joey enters, upset."
1,9,8,monica and rachel's,"monica is cooking thanksgiving dinner. chandler is standing in the doorway, not wanting to participate in the festivities."
1,9,9,carol and susan's,ross is preparing to talk to her belly.
1,9,10,monica and rachel's,the group is coming back from the roof.
1,9,11,carol and susan's,"carol is reading, ross is talking to her stomach."
1,9,12,the hallway,"joey has a tray full of keys, and is trying each one in the lock."
1,9,13,the subway,"joey sees his poster and he peels off the caption on his poster, revealing more posters underneath. the captions read, as follows bladder control problem stop wife beating hemorrhoids? winner of 3 tony awards... he's finally happy with that and walks away."
1,10,1,monica and rachel's,ross is entering.
1,10,2,central perk,phoebe is getting ready to sing. joey is not there.
1,10,3,monica and rachel's,everyone except joey is decorating for christmas.
1,10,4,max and david's lab,david is explaining something to phoebe with the aid of a whiteboard.
1,10,5,central perk,everyone is there.
1,10,6,max and david's lab,they are working. phoebe knocks on the door
1,10,7,monica and rachel's,the party has started.
1,10,8,monica and rachel's,time lapse.
1,11,1,a street monica and phoebe are walking to a newsstand,
1,11,2,hospital,the guy is in a coma and mon and pheebs are visiting.
1,11,3,monica and rachel's,monica and phoebe are telling everyone about their coma guy.
1,11,4,the hospital,it's a montage of monica and phoebe's visit to the hospital with my guy playing in the background. it starts with monica reading a newspaper to him.
1,11,5,a mexican restaurant,"monica, phoebe, joey, chandler and his mom are there."
1,11,6,chandler and joey's,the next morning. joey is getting the door in his dressing gown—it's ross.
1,11,7,hospital. phoebe is there stroking coma guy's hair,when monica enters with a bunch of balloons.
1,11,8,chandler and joey's,ross is talking to chandler. joey is making a snack at the bar.
1,11,9,central perk,everyone is there except for chandler. rachel is writing something and monica walks up.
1,11,10,the coma guy's room,"monica bursts in, closely followed by phoebe. there is no sign of coma guy. his bed is empty."
1,11,11,chandler and joey's chandler is talking with his mom,"monica bursts in, closely followed by phoebe. there is no sign of coma guy. his bed is empty."
1,11,12,monica and rachel's,rachel is handing out copies of her book to the gang.
1,12,1,central perk,"everyone is there. ross working on crossword puzzle, starts humming theme from the odd couple . chandler joins in, followed by monica and phoebe, then the whole gang. ross starts humming theme from i dream of jeannie ."
1,12,2,monica and rachel's,monica is on the phone in the kitchen.
1,12,3,the hallway,"chandler and joey leaving girls' apartment, carrying lasagna."
1,12,4,carol and susan's,there's a knock on the door and carol answers it to ross.
1,12,5,chandler and joey's,joey and chandler use their knees as a table to support the lasagna.
1,12,6,phoebe's massage parlor,phoebe's assistant is telling her about the changes to her schedule.
1,12,7,central perk,everyone but phoebe is there.
1,12,8,central perk,continued from earlier.
1,12,9,the table store,joey and chandler and looking for their new table.
1,12,10,monica and rachel's,rachel folding and packing clothes in suitcases as phoebe enters.
1,12,11,chandler and joey's,"ross, chandler, joey, and monica admiring their new table."
1,12,12,monica and rachel's,rachel is recovering from the shock.
1,12,13,chandler and joey's,phoebe is telling everyone how it went across the hall as the foosball game continues.
1,12,14,monica and rachel's balcony,rachel is throwing paolo's clothes over the side.
1,12,15,chandler and joey's,monica is busy killing chandle and joey at foosball.
1,13,1,monica and rachel's,"chandler walks in and starts raiding the fridge. then rachel comes out of the shower with a towel wrapped round her waist, drying herself with another towel. chandler and rachel startle each other and she drops the towel for a second and snatches the rug off the couch."
1,13,2,central perk,"phoebe is there with her boyfriend roger, talking to rachel and monica."
1,13,3,chandler and joey's,mr. tribbiani is on the phone.
1,13,4,monica and rachel's,joey is lamenting to everyone about hid dad's affair.
1,13,5,the hallway,chandler and joey are just leaving monica and rachel's.
1,13,6,chandler and joey's,ronni is talking to chandler. joey's dad is not around.
1,13,7,chandler and joey's,night. chandler and joey are sharing the sofabed in the living room. joey is restless.
1,13,8,monica and rachel's,morning. someone knocks on the door and monica gets it.
1,13,9,central perk,everyone is there as phoebe enters.
1,13,10,chandler and joey's apartment,joey is trying to turn the sofabed back into a sofa. someone knocks on the door and it rears up at him.
1,13,11,central perk,phoebe is there with roger.
1,13,12,monica and rachel's,joey is letting everyone in on the new developments.
1,13,13,monica and rachel's,phoebe is reading the paper and joey enters.
1,14,1,central perk,"ross is eyeing a beautiful woman at the counter, and joey and chandler are egging him on to go talk to her. no pun intended. i mean it."
1,14,2,central perk,"monica, rachel, phoebe, joey, chandler are there. ross is still talking to the beautiful woman."
1,14,3,a restaurant,"joey and chandler are there, waiting for their dates to show up."
1,14,4,the bathroom at the restaurant,chandler and joey are talking.
1,14,5,monica and rachel's,"the girls are all there, discussing their bad luck with men."
1,14,6,the restaurant,"joey, lorraine, chandler, and janice are at the table. joey and lorraine are seated very close, chandler and janice have backed their chairs away from one another."
1,14,7,chandler's bedroom,"chandler wakes up, and finds someone else's hand on his chest. he rolls over and is shocked to see janice there."
1,14,8,the hallway,chandler is trying to get janice out of his apartment.
1,14,9,a chinese restaurant,ross is there with his date.
1,14,10,monica and rachel's,the girls are holding their boyfriend bonfire.
1,14,11,central perk,chandler and joey are there. chandler is preparing to dump janice again.
1,14,12,the chinese restaurant,chandler and joey are there. chandler is preparing to dump janice again.
1,14,13,monica and rachel's,firemen are there to handle the bonfire that got out of control.
1,14,14,central perk,firemen are there to handle the bonfire that got out of control.
1,14,15,the chinese restaurant,ross and carol are talking. kristin is not there.
1,14,16,monica and rachel's,the girls are talking with the firemen.
1,14,17,out in the hall,the firemen are talking.
1,15,1,central perk,"rachel is serving joey, ross, and monica their drinks."
1,15,2,chandler's job,"chandler is typing data into his computer, he keeps typing even while taking a drink of coffee with one hand. one of his co-workers walks by."
1,15,3,central perk,"everyone is there but chandler. phoebe runs in, excitedly."
1,15,4,monica and rachel's,"chandler walks in, wearing a suit."
1,15,5,ross's apartment,"marcel is hanging from celia's hair, and she is screaming, trying to get him off."
1,15,6,monica and rachel's,"everyone is there but ross and chandler. monica is making food, and having everyone try it."
1,15,7,ross' apartment,"girl, you'll be a woman soon the original, not that cruddy urge overkill version is playing. ross and celia are kissing passionately."
1,15,8,chandler and joey's,"joey and ross are there, discussing what happened last night."
1,15,9,chandler's new window office,he is showing phoebe around.
1,15,10,monica and rachel's,monica is on the phone. rachel walks in and overhears the conversation.
1,15,11,monica and rachel's,"later. rachel is waitressing, monica is cooking. phoebe walks in with steve crystal duck winner jon lovitz."
1,15,12,central perk,all are there except chandler.
1,15,13,chandler's office,"he's on the phone, agitated."
1,15,14,phoebe's massage parlour,"she has steve on the table, and is giving him an extra-painful massage."
1,16,1,rift’s restaurant,"as seen in mad about you , joey and chandler are there."
1,16,2,a wintry february day in new york city,"snowplows are clearing the streets. inside central perk, all three girls are paying court to ross."
1,16,3,the lamaze class,"several couples and one trio sit on the floor, introducing themselves to the teacher, who’s got as far as a woman sitting next to ross, carol, and susan."
1,16,4,chandler's office,"chandler is working. helen’s buzzer is heard on the intercom, so chandler presses his button, too."
1,16,5,monica and rachel's,"ross, chandler, and the girls are dividing some chinese takeout, while the sitcom family matters is playing on the tv."
1,16,6,lamaze class. susan is there. each couple has a doll,"for they have just finished learning how to change a diaper. as ross rushes in, stepping on the rostins’ pretend baby, squashing its head flat. it bleats, in protest. he performs emergency surgery, then hands the doll back to j.c."
1,16,7,chandler's office,chandler is playing with a toy as his boss mr. douglas knocks and opens the door.
1,16,8,chandler's office,"later that day, nina is in his office."
1,16,9,central perk,"rachel is at the counter, serving coffee to phoebe."
1,16,10,monica and rachel’s,"phoebe is watching a spanish version of the waltons. at a nearby table sit monica knitting, rachel winding a ball of wool, and chandler supplying them both from a skein which is spread between his hands. phoebe uses the remote to stop the spanish by turning off the television."
1,16,11,chandler's office,"chandler & nina are locked in a passionate embrace. someone knocks, so they hurriedly separate to stare out of the window. chandler’s boss opens the door."
1,16,12,lamaze class,"ross is again on the floor, cradled in susan’s lap, but now carol is cradled in his lap, and she has a pretend baby, on her lap. the teacher is showing her class a video, which is about to end."
1,16,13,13 central perk,"the gang is gathered around monica comforting her brother, who in a slight state of shock is cuddling a cushion for security."
1,16,14,chandler's office,"chandler is working as nina knocks, then opens the door."
1,16,15,monica and rachel’s,"ross, rachel, chandler, and phoebe are sharing a bowl of popcorn, while monica carefully reads the instruction manual for her television set."
1,16,16,monica and rachel's balcony,"rachel is taking down the christmas lights. monica sees her, so she leans out of the small side window."
1,17,1,an emergency room,rachel and monica enter. rachel is limping and leaning on monica for support.
1,17,2,central perk,"chandler, has split up his newspaper so joey can look at the funnies, while ross's inappropriate joke at lamaze class has come back to haunt him."
1,17,3,the hospital,monica and rachel are waiting for the doctors to arrive. they enter and are played by noah wyle and george clooney.
1,17,4,monica and rachel's,everyone but joey is waiting for phoebe to arrive for her surprise birthday party. rachel and monica is telling chandler about rachel's incident.
1,17,5,a restaurant,ross is having lunch with his father who is examining his next forkful.
1,17,6,monica and rachel's,monica is just getting off of the intercom and turns off the tv which is still in the sap mode.
1,17,7,monica and rachel's,"the next morning, ross, phoebe, chandler and monica sit round the coffee table, playing scrabble. rachel, still in her dressing gown, is pleading on the phone, her free hand shaking with agitation."
1,17,8,riff's,"phoebe is entering. ursula returns with two plates of chicken, but she only has time to set one on the table, when..."
1,17,9,the emergency room. the officious admissions nurse is again on duty. rachel and monica enter,"looking worried. as they approach the desk, rachel adopts a winning smile, while monica struggles to smile at all."
1,17,10,monica and rachel's,"chandler is neglecting the game of scrabble , for he's busily drawing on his own childhood in an attempt to help ross. marcel chitters about."
1,17,11,the emergency room,"monica sits with rachel, who is filling out an honest form at last. ross and chandler hurtle in. little marcel, wrapped in a fluffy towel, is cradled in ross's arms. they dash up to the admissions desk. ross is frantic."
1,17,12,central perk,"joey is playing ""she loves me, she loves me not"" with the petals of a flower, alternately looking hopeful and annoyed. phoebe enters, but not as herself, for she has changed the style of her hair and make-up to match that of her twin sister. she hangs up her coat, revealing her new cardigan. nervously, she smooths out the identifying garment, approaching joey who sits next to the main sofa."
1,17,13,the hospital,"marcel lies on the operating table while recovering from the anaesthetic, tucked up under a sheet like an infant in a huge bed. ross sits beside him, as a smiling chandler, monica and rachel look on."
1,17,14,monica and rachel's,everyone except joey is there. rachel is looking out of the window and ross is handing out some chinese takeout. there's a small sap in the corner of the screen.
1,18,1,monica's,the whole gang is helping rachel mail out resumes while whistling the theme from the bridge on the river kwai.
1,18,2,central perk,ross and chandler are sitting at a table. rachel is working. monica and phoebe enter.
1,18,3,monica and rachel's,the guys are teaching the girls how to play poker.
1,18,4,ross' apartment,chandler and joey are there. ross enters with a pizza.
1,18,5,monica and rachel's,"rachel, monica, and phoebe are there."
1,18,6,ross's apartment,everyone but rachel is seated around his table. the lion sleep tonight plays in the background.
1,18,7,ross's apartment,continued from earlier.
1,18,8,monica and rachel's,everyone is there ready for another poker game.
1,18,9,monica and rachel's,"all six are playing pictionary at monica's apartment. monica is drawing a picture, and the three guys are guessing. she draws what looks like an airplane."
1,19,1,central perk,rachel is talking to a customer.
1,19,2,central perk,monica enters with some mail.
1,19,3,monica and rachel's,rachel and ross are eating chinese.
1,19,4,joe,"g's pizza, the guys are there."
1,19,5,monica and rachel's,rachel is taking care of marcel and they are watching a soap opera.
1,19,6,monica and rachel's,continued from earlier.
1,19,7,4 everyone in the hall outside mr,heckles' door. ross is carrying the box of bananas. he bangs on the door
1,19,8,monica and rachel's,rachel and ross are there. ross is trying to get the dress off marcel.
1,19,9,central perk,"monica, joey, phoebe, and chandler are looking through monica's high school yearbook"
1,20,1,monica and rachel's,everyone is there.
1,20,2,central perk,everyone but rachel is there.
1,20,3,barry's office,the post-coital barry and rachel are recovering on the chair.
1,20,4,monica and rachel's,everyone is there except rachel.
1,20,5,barry's office,rachel and barry are getting dressed.
1,20,6,monica and rachel's,chandler enters clutching his phone.
1,20,7,monica and rachel's,the next morning. chandler is sitting and staring at his phone. monica enters and creeps up next to chandler.
1,20,8,central perk,rachel is serving coffee as mindy enters.
1,20,9,monica and rachel's,"phoebe and ross are doing a crossword, monica is cooking, and chandler is still staring at his phone."
1,20,10,barry's office,barry is preparing his tools alone as rachel enters.
1,20,11,monica and rachel's,monica and rachel are there.
1,20,12,central perk,everyone is there.
1,21,1,monica and rachel's,everyone is looking at papers.
1,21,2,monica and rachel's,late at night monica is still examining her bill as rachel emerges from her room.
1,21,3,central perk,joey and chandler are discussing stage names.
1,21,4,monica and rachel's,monica is there as phoebe and rachel enter.
1,21,5,a tap class,the girls are standing at the door.
1,21,6,central perk,ross is entering.
1,21,7,central perk,scene continued from earlier. they guys are sitting there like the three monkeys.
1,21,8,monica and rachel's,"monica, rachel and fake monica are there."
1,21,9,monica and rachel's,tiem lapse. everyone but joey and monica are there.
1,21,10,central perk,"ross is talking to dr. baldhara, a zookeeper."
1,21,11,monica and rachel's,"rachel is dusting. she comes to the table, lifts all the magazines and wipes under them, then just puts them down again. monica bursts in, obviously drunk."
1,21,12,new york city department of correction,monica is visiting fake monica.
1,21,13,tap class,monica is standing by the door.
1,21,14,the airport,everyone but monica is there to see off marcel.
1,21,15,a theater,there is a casting session going on for a play.
1,22,1,central perk,everyone is there.
1,22,2,central perk,"continued from earlier, chandler is sitting on the table."
1,22,3,chandler's office,he and phoebe are there when the phone starts ringing.
1,22,4,monica and rachel's,monica and rachel are there. monica is just finishing cleaning the windows.
1,22,5,central perk,joey and ross are there.
1,22,6,monica and rachel's,monica and young ethan are sitting in the couch.
1,22,7,monica's bedroom,continued from earlier.
1,22,8,monica and rachel's,everyone exept monica is there.
1,22,9,chandler's office,he and phoebe are taking a break from work.
1,22,10,central perk,everyone exept phoebe and chandler is there. ross's beeper goes off and everyone exept him react.
1,22,11,a hall on the floor where chandler works. chandler and phoebe enters,and overhears some employees's conversation. one of them is doing chandler.
1,22,12,monica and rachel's,"ross is watching tv, but turns it off, and rachel is sleeping on the couch. ross puts a blanket over her."
1,22,13,the hallway,"ross is eagerly waiting for the others to get ready, to go to the hospital."
1,23,1,the hospital,"ross, rachel, chandler, joey, and monica are in the waiting room, waiting for carol and susan to arrive."
1,23,2,carol's hospital room,"carol is on the bed, ross and susan are at her side."
1,23,3,the waiting room,chandler is falling asleep on monica's shoulder.
1,23,4,the waiting room,"phoebe is playing a song. chandler, monica, and ross are there as well."
1,23,5,joey and lydia in the hospital room,lydia is on the phone with her mother.
1,23,6,carol's hospital room,ross and susan are coaching carol.
1,23,7,lydia's hospital room,"joey is helping lydia go through labor, a nurse is now present in her room as well."
1,23,8,the hall,ross and susan are arguing.
1,23,9,the broom closet,ross and susan are trying to get out.
1,23,10,carol's room,rachel and dr. franzblau are there with her.
1,23,11,lydia's room,joey is helping her deliver.
1,23,12,the broom closet,ross has picked up a vacuum and is holding it at the door.
1,23,13,the waiting room,"monica is on the phone with her mother, chandler is standing behind her."
1,23,14,the waiting room,rachel and dr. franzblau have gone to get coffee.
1,23,15,the hall outside lydia's room,"joey is walking up to lydia's room with balloons, but before he enters he sees that the baby's father has arrived. he listens at the door."
1,23,16,the broom closet,"ross is trying to open the door with a credit card, with no success."
1,23,17,carol's room,"she is ready to give birth. everyone is there except for phoebe, ross, and susan, who are in the broom closet."
1,23,18,the broom closet,"ross has used a broom to open the air vent in the ceiling. phoebe is wearing a janitor's uniform, ready to go up in the vent."
1,23,19,carol's room,ross and susan rush in.
1,23,20,the delivery room,carol is holding the infant.
1,23,21,the hospital,the camera is placed as though it were ben's eyes.
1,24,1,central perk,"the whole gang is there, ross is showing pictures of his new baby boy, ben, to the group."
1,24,2,monica and rachel's,monica and phoebe are preparing for a barbecue for rachel's birthday.
1,24,3,monica and rachel's,continued from earlier.
1,24,4,airport,"ross has headphones on, and is listening to a 'how to speak chinese' tape. occasionally, he makes an outburst in chinese in accordance with the tape. he is getting on the jetway. the flight attendant is there."
1,24,5,joey's bedroom,he and melanie are in bed together.
1,24,6,monica and rachel's,"monica, phoebe, and rachel are there. monica is holding the wrapping paper from one of rachel's gifts."
1,24,7,chandler and joey's,"chandler is eating breakfast, joey quietly opens his bedroom door."
1,24,8,monica and rachel's,"one week later. monica is seated, rachel comes out of her bedroom."
1,24,9,chandler and joey's,"chandler is seated, and the apartment is filled with baskets of fruit. joey enters, check in hand."
1,24,10,monica and rachel's balcony,"rachel is having drinks with her date, carl."
1,24,11,airport,madonna's take a bow plays in the background as rachel waits at the gate with flowers.
2,1,1,central perk,"phoebe is recapping last season, and as she talks we see a montague of scenes from ross and rachel."
2,1,2,the airport,"continued from last season, rachel is waiting for ross to come of the plane, when she sees he's coming off with another woman."
2,1,3,monica and rachel's,the gang is waiting for rachel to return from the airport with ross.
2,1,4,central perk,ross and chandler enter.
2,1,5,monica and rachel's,ross and the gang is watching sumo wrestling on tv.
2,1,6,monica and rachel's,the next morning.
2,1,7,monica and rachel's,continued from earlier.
2,1,8,monica's bedroom,phoebe is finishing with her haircut and monica is whincing.
2,1,9,frank's tailor shop,chandler is getting his pants measured.
2,1,10,monica and rachel's,"monica is recovering from her haircut, phoebe is playing her doctor and is coming in from the bedroom."
2,1,11,monica and rachel's,later that day. monica is now out and about.
2,1,12,central perk,julie is wanting to get her hair cut from phoebe.
2,2,1,monica and rachel's,carol and susan are showing off ben to the gang.
2,2,2,central perk,the gang is all there.
2,2,3,a department store,joey is selling men's cologne.
2,2,4,central perk,phoebe is there as monica enters.
2,2,5,the department store,joey is trying to sell some cologne.
2,2,6,monica and rachel's,carol is dropping ben off for ross to watch.
2,2,7,monica and rachel's,"chandler, rachel, and joey are eating, and phoebe is preparing ben's milk."
2,2,8,monica and rachel's,time lapse. rachel is entering the living room from her bedroom as monica enters.
2,2,9,monica and rachel's,ben is playing in his crib while chandler and ross are leaning against the rim and are completely asleep.
2,2,10,chandler and joey's,chandler is wiping down the peninsula counter as joey enters dressed like a cowboy.
2,2,11,outside central perk,rachel is cleaning up and monica is pleading with her.
2,2,12,the department store,joey and the hombre man are facing off in joey's section.
2,2,13,central perk,julie and rachel are sitting on the couch.
2,2,14,monica and rachel's,"another showdown is occuring, only this time its between ross, a plate of cookies, and the breast milk. they've been eyeing each other for a while now, and chandler and joey are getting bored. he checks his ross and in frustration, shoves his watch in front of ross's eyes as if saying, ""hurry it up already!"" finally, ross scratches his head, does that again, itches his nose, scratches his head, grabs the bottle, takes a big swig, and piles several cookies into his mouth."
2,3,1,monica's apartment,
2,3,2,hallway,
2,3,3,monical's apartment,
2,3,4,mr heckle's apartment,
2,3,5,mr heckle's apartment,
2,3,6,chandler's apartment,
2,3,7,central perk,
2,3,8,monica's apartment,
2,3,9,mr heckel's apartment,
2,3,10,other,
2,3,10,other,
2,4,1,monica and rachel's apartment,rachel is on the phone.
2,4,2,monica and rachels apartment,the whole gang is there.
2,4,3,central perk. chandler,"ross, and julie are sitting on the couch."
2,4,4,central perk close to closing,ross and julie are still there. rachel is cleaning tables.
2,4,5,madison square garden,duncan's dressing room.
2,4,6,ross's apartment,ross and julie are setting the table.
2,4,7,ross's apartment,after dinner. chandler enters.
2,4,8,madison square garden,duncan's dressing room. phoebe is fixing her hair and duncan enters.
2,4,9,ross's apartment,everyone is sitting around. monica enters from bathroom.
2,4,10,madison square garden,duncan's dressing room. phoebe is signing the divorce papers.
2,4,11,ross's apartment,julie is telling her live story.
2,4,12,the next morning on the street. ross is dancing along,singing in the rain is playing. two old ladies are sitting on a bench.
2,4,12,the next morning on the street. ross is dancing along,singing in the rain is playing. two old ladies are sitting on a bench.
2,5,1,at chandler and joey's,ross and chandler are there. ross is watching wrestling.
2,5,2,monica and rachel's,ross and chandler are there. ross is watching wrestling.
2,5,3,central perk,ross and chandler are there. ross is watching wrestling.
2,5,4,somplace nice,ross and chandler are there. ross is watching wrestling.
2,5,5,monica and rachel's,ross and chandler are there. ross is watching wrestling.
2,5,6,the concert,ross and chandler are there. ross is watching wrestling.
2,5,7,monica and rachel's,ross and chandler are there. ross is watching wrestling.
2,5,8,central perk,ross and chandler are there. ross is watching wrestling.
